Adversarial Examples,Time(s),Mem Queries asked before,Total sequences asked before,Mem Query?
"(49/1,)",0.007,5,5,Y
"(1/1, 48/1, 5/1, 50/1, 26/1)",0.011,8,8,Y
"(51/1,)",0.016,13,13,Y
"(6/1, 12/1, 22/1)",0.022,19,19,Y
"(8/1, 48/1, 49/1)",0.024,21,21,Y
"(21/1, 44/1, 14/1, 32/1, 46/1)",0.033,30,30,Y
"(41/1, 31/1, 26/1)",0.04,36,36,Y
"(43/1, 16/1, 29/1, 25/1, 32/1)",0.049,44,44,Y
"(17/1, 1/1, 10/1, 28/1, 26/1)",0.052,47,47,Y
"(6/1, 35/1, 18/1)",0.054,49,49,Y
"(43/1, 26/1, 32/1)",0.056,51,51,Y
"(27/1, 43/1, 37/1)",0.071,64,64,Y
"(17/1, 29/1, 4/1, 43/1, 23/1)",0.084,76,76,Y
"(2/1, 12/1, 11/1)",0.107,97,97,Y
"(26/1, 49/1, 37/1)",0.115,104,104,Y
"(46/1, 24/1, 52/1, 13/1, 19/1)",0.117,106,106,Y
"(59/1,)",0.119,108,108,Y
"(37/1, 15/1, 17/1)",0.122,110,110,Y
"(48/1,)",0.127,115,115,Y
"(58/1, 35/1, 6/1, 8/1, 33/1)",0.129,116,116,Y
"(47/1,)",0.142,128,128,Y
"(8/1, 52/1, 57/1)",0.143,129,129,Y
"(7/1, 48/1, 56/1)",0.144,130,130,Y
"(18/1, 54/1, 35/1)",0.171,155,155,Y
"(55/1,)",0.172,156,156,Y
"(51/1, 32/1, 40/1, 31/1, 41/1)",0.186,168,168,Y
"(8/1, 1/1, 7/1, 46/1, 59/1)",0.191,173,173,Y
"(49/1, 16/1, 18/1)",0.197,178,178,Y
"(52/1,)",0.199,180,180,Y
"(1/1, 27/1, 13/1, 21/1, 22/1)",0.2,181,181,Y
"(11/1, 18/1, 57/1)",0.203,184,184,Y
"(28/1, 22/1, 28/1, 20/1, 15/1)",0.204,185,185,Y
"(55/1, 14/1, 17/1)",0.205,186,186,Y
"(32/1, 43/1, 57/1)",0.218,197,197,Y
"(59/1, 58/1, 50/1, 34/1, 45/1)",0.231,209,209,Y
"(21/1, 36/1, 23/1)",0.232,210,210,Y
"(38/1, 55/1, 51/1, 4/1, 23/1)",0.234,211,211,Y
"(56/1,)",0.237,214,214,Y
"(60/1, 11/1, 28/1)",0.241,218,218,Y
"(44/1, 48/1, 13/1, 58/1, 42/1)",0.248,225,225,Y
"(50/1,)",0.251,227,227,Y
"(11/1, 39/1, 38/1)",0.253,229,229,Y
"(1/1, 23/1, 6/1, 50/1, 57/1)",0.262,237,237,Y
"(44/1, 15/1, 30/1)",0.265,240,240,Y
"(41/1, 5/1, 24/1)",0.28,253,253,Y
"(16/1, 27/1, 16/1, 6/1, 13/1)",0.286,259,259,Y
"(53/1, 37/1, 28/1)",0.29,263,263,Y
"(59/1, 39/1, 51/1)",0.312,283,283,Y
"(48/1, 32/1, 45/1)",0.315,286,286,Y
"(55/1, 27/1, 23/1, 35/1, 49/1)",0.317,287,287,Y
"(51/1, 36/1, 40/1, 21/1, 30/1)",0.322,292,292,Y
"(57/1,)",0.324,293,293,Y
"(53/1,)",0.339,308,308,Y
"(6/1, 43/1, 48/1)",0.348,316,316,Y
