Adversarial Examples,Time(s),Length of Adversarial Examples
"(46/1, 4/1, 54/1, 55/1, 56/1, 47/1, 36/1, 41/1, 15/1)",5.186,9
"(5/1, 49/1, 34/1, 9/1, 18/1, 13/1, 26/1, 49/1, 50/1, 51/1, 1/1, 26/1, 25/1, 58/1, 42/1)",7.264,15
"(45/1, 46/1, 7/1, 18/1, 46/1, 18/1, 41/1, 11/1, 39/1, 4/1, 9/1, 37/1, 42/1, 15/1, 16/1, 12/1, 42/1, 15/1, 15/1, 15/1)",7.492,20
"(46/1, 48/1, 49/1, 14/1, 33/1, 23/1, 8/1, 10/1)",7.9,8
"(13/1, 34/1, 54/1, 42/1, 45/1, 44/1, 43/1, 43/1, 59/1, 18/1, 51/1, 7/1, 7/1, 59/1, 44/1, 43/1, 41/1, 56/1, 58/1, 42/1)",8.184,20
"(51/1, 53/1, 54/1, 23/1, 57/1, 15/1, 49/1, 16/1)",8.395,8
"(60/1, 59/1, 59/1, 10/1, 6/1, 1/1, 31/1, 37/1, 60/1, 38/1)",8.528,10
"(19/1, 11/1, 10/1, 26/1, 14/1, 7/1, 56/1, 21/1, 60/1, 9/1, 44/1, 45/1, 46/1, 10/1, 52/1, 59/1, 52/1, 5/1, 46/1)",8.654,19
"(5/1, 52/1, 54/1, 55/1, 4/1, 2/1, 6/1, 12/1, 3/1, 17/1, 36/1, 6/1)",9.276,12
"(20/1, 18/1, 43/1, 49/1, 51/1, 52/1, 47/1, 34/1, 51/1, 33/1, 38/1, 51/1, 52/1, 28/1, 40/1, 35/1)",10.382,16
"(7/1, 43/1, 45/1, 46/1, 13/1)",13.101,5
"(24/1, 55/1, 55/1, 56/1, 57/1, 11/1)",13.897,6
"(34/1, 57/1, 13/1, 17/1, 47/1, 11/1, 31/1, 30/1, 53/1, 49/1, 43/1, 44/1, 45/1, 17/1, 53/1, 53/1)",14.261,16
"(51/1, 53/1, 54/1, 11/1, 16/1, 11/1, 22/1, 55/1, 38/1, 13/1, 44/1, 2/1, 58/1)",14.602,13
"(10/1, 60/1, 53/1, 30/1, 32/1, 39/1, 38/1, 5/1, 42/1, 21/1, 44/1, 42/1, 30/1, 31/1, 32/1, 20/1, 44/1)",15.557,17
"(19/1, 22/1, 17/1, 59/1, 22/1, 46/1, 51/1, 56/1, 30/1, 28/1, 18/1, 32/1, 48/1, 49/1, 50/1, 29/1, 30/1, 22/1)",15.583,18
"(46/1, 2/1, 31/1, 5/1, 45/1, 19/1, 55/1, 9/1, 50/1, 29/1, 31/1, 39/1, 33/1, 34/1, 35/1, 19/1, 18/1, 13/1, 54/1)",15.594,19
"(34/1, 19/1, 26/1, 47/1, 49/1, 50/1, 35/1, 47/1, 16/1, 15/1, 47/1, 30/1, 56/1, 33/1, 38/1, 8/1)",15.754,16
"(14/1, 13/1, 46/1, 60/1, 54/1, 55/1, 56/1, 11/1, 50/1, 60/1, 52/1, 56/1, 60/1, 41/1, 30/1)",17.579,15
"(41/1, 30/1, 33/1, 10/1, 53/1, 55/1, 56/1, 3/1, 20/1, 11/1, 29/1, 54/1, 37/1, 15/1, 60/1, 4/1, 3/1)",17.619,17
"(24/1, 54/1, 55/1, 56/1, 11/1, 8/1)",17.919,6
"(55/1, 50/1, 42/1, 30/1, 49/1, 48/1, 48/1, 49/1, 29/1, 56/1, 14/1, 5/1, 35/1, 51/1, 48/1, 41/1, 35/1, 58/1, 57/1)",18.194,19
"(3/1, 24/1, 8/1, 60/1, 52/1, 34/1, 30/1, 28/1, 30/1, 13/1, 23/1, 18/1, 57/1, 59/1, 60/1, 49/1, 15/1, 60/1)",19.049,18
"(6/1, 14/1, 23/1, 6/1, 40/1, 43/1, 23/1, 60/1, 49/1, 43/1, 44/1, 45/1, 11/1, 4/1, 40/1, 4/1, 40/1, 19/1, 3/1, 17/1)",19.759,20
