Adversarial Examples,Time(s),Length of Adversarial Examples
(),0.004,0
"(37.0, 4.0, 7.0, 26.0)",0.047,4
"(28.0, 28.0)",0.084,2
"(35.0, 45.0, 25.0, 35.0)",0.109,4
"(1.0, 55.0, 27.0, 55.0)",0.119,4
"(24.0, 17.0, 0.0, 16.0, 17.0)",0.151,5
"(40.0, 60.0, 9.0, 41.0, 26.0, 27.0)",3.445,6
"(16.0, 49.0, 31.0, 42.0, 9.0, 9.0)",3.447,6
"(7.0, 31.0, 22.0, 18.0, 48.0, 31.0)",3.447,6
"(60.0, 15.0, 5.0, 34.0, 31.0, 34.0)",3.449,6
"(19.0, 49.0, 43.0, 31.0, 19.0, 31.0)",3.464,6
"(0.0, 48.0, 31.0, 6.0, 0.0, 31.0)",3.465,6
"(53.0, 21.0, 18.0, 27.0, 27.0, 45.0)",3.478,6
"(18.0, 25.0, 28.0, 39.0, 39.0, 18.0)",3.479,6
"(32.0, 9.0, 11.0, 27.0, 27.0, 27.0)",3.48,6
"(49.0, 48.0, 55.0, 34.0, 55.0, 8.0)",3.506,6
"(24.0, 17.0, 19.0, 20.0, 19.0, 24.0)",3.507,6
"(36.0, 52.0, 48.0, 10.0, 48.0, 48.0)",3.509,6
"(11.0, 7.0, 7.0, 11.0, 37.0, 52.0)",3.522,6
"(39.0, 48.0, 46.0, 39.0, 38.0, 38.0)",3.524,6
"(21.0, 35.0, 42.0, 21.0, 38.0, 35.0)",3.525,6
"(49.0, 16.0, 31.0, 49.0, 4.0, 31.0)",3.526,6
"(32.0, 21.0, 29.0, 32.0, 32.0, 21.0)",3.539,6
"(52.0, 1.0, 30.0, 52.0, 1.0, 45.0)",3.551,6
"(26.0, 48.0, 5.0, 26.0, 48.0, 48.0)",3.553,6
"(51.0, 30.0, 23.0, 51.0, 30.0, 23.0)",3.554,6
"(11.0, 19.0, 13.0, 11.0, 13.0, 11.0)",3.566,6
"(37.0, 17.0, 54.0, 37.0, 54.0, 17.0)",3.567,6
"(39.0, 16.0, 0.0, 37.0, 37.0, 39.0, 39.0)",43.61,7
"(50.0, 9.0, 33.0, 27.0, 27.0, 7.0, 50.0, 50.0)",188.449,8
"(45.0, 59.0, 2.0, 16.0, 16.0, 32.0, 45.0, 32.0)",188.45,8
"(50.0, 5.0, 60.0, 48.0, 48.0, 24.0, 24.0, 24.0)",188.487,8
"(58.0, 59.0, 3.0, 36.0, 36.0, 59.0, 59.0, 59.0)",188.488,8
"(61.0, 16.0, 11.0, 26.0, 26.0, 51.0, 51.0, 26.0)",188.49,8
"(47.0, 42.0, 41.0, 57.0, 57.0, 14.0, 42.0, 24.0)",188.517,8
"(60.0, 31.0, 0.0, 41.0, 41.0, 10.0, 31.0, 0.0)",188.52,8
"(48.0, 1.0, 38.0, 54.0, 54.0, 37.0, 1.0, 54.0)",188.521,8
"(45.0, 40.0, 0.0, 52.0, 52.0, 11.0, 0.0, 35.0)",188.549,8
"(57.0, 35.0, 51.0, 54.0, 54.0, 2.0, 51.0, 57.0)",188.55,8
"(3.0, 43.0, 23.0, 32.0, 32.0, 5.0, 23.0, 5.0)",188.551,8
"(52.0, 60.0, 60.0, 38.0, 38.0, 26.0, 60.0, 60.0)",188.552,8
"(31.0, 34.0, 2.0, 30.0, 30.0, 58.0, 30.0, 23.0)",188.581,8
"(17.0, 18.0, 17.0, 56.0, 56.0, 46.0, 56.0, 46.0)",188.583,8
"(38.0, 39.0, 51.0, 17.0, 17.0, 52.0, 17.0, 17.0)",188.585,8
"(17.0, 13.0, 0.0, 41.0, 41.0, 19.0, 19.0, 34.0, 61.0)",274.101,9
"(21.0, 45.0, 22.0, 44.0, 44.0, 21.0, 45.0, 21.0, 0.0)",370.725,9
"(22.0, 9.0, 56.0, 60.0, 60.0, 2.0, 2.0, 20.0, 5.0, 39.0)",724.172,10
"(5.0, 17.0, 61.0, 43.0, 43.0, 47.0, 47.0, 20.0, 6.0, 6.0)",724.175,10
"(59.0, 38.0, 47.0, 0.0, 0.0, 47.0, 47.0, 10.0, 59.0, 8.0)",724.21,10
"(43.0, 19.0, 25.0, 10.0, 10.0, 4.0, 4.0, 16.0, 43.0, 43.0)",724.211,10
"(8.0, 11.0, 30.0, 49.0, 49.0, 24.0, 24.0, 54.0, 8.0, 24.0)",724.212,10
"(53.0, 26.0, 24.0, 22.0, 22.0, 9.0, 9.0, 23.0, 53.0, 22.0)",724.214,10
"(17.0, 15.0, 0.0, 46.0, 46.0, 56.0, 56.0, 61.0, 56.0, 32.0)",724.248,10
"(40.0, 37.0, 22.0, 12.0, 12.0, 41.0, 41.0, 25.0, 41.0, 40.0)",724.248,10
"(3.0, 46.0, 32.0, 42.0, 42.0, 22.0, 22.0, 6.0, 22.0, 22.0)",724.249,10
"(22.0, 3.0, 38.0, 43.0, 43.0, 12.0, 12.0, 48.0, 12.0, 43.0)",724.252,10
"(16.0, 52.0, 55.0, 5.0, 5.0, 20.0, 20.0, 49.0, 20.0, 49.0)",724.253,10
"(4.0, 44.0, 11.0, 49.0, 49.0, 29.0, 29.0, 25.0, 44.0, 32.0)",724.284,10
"(44.0, 42.0, 28.0, 27.0, 27.0, 56.0, 56.0, 10.0, 42.0, 56.0)",724.285,10
"(3.0, 37.0, 56.0, 5.0, 5.0, 19.0, 19.0, 18.0, 37.0, 37.0)",724.286,10
"(6.0, 59.0, 35.0, 59.0, 59.0, 52.0, 52.0, 31.0, 59.0, 31.0)",724.288,10
"(50.0, 35.0, 17.0, 5.0, 5.0, 13.0, 13.0, 22.0, 17.0, 50.0)",724.321,10
"(2.0, 12.0, 29.0, 24.0, 24.0, 18.0, 18.0, 16.0, 29.0, 12.0)",724.322,10
"(34.0, 35.0, 16.0, 46.0, 46.0, 57.0, 57.0, 56.0, 16.0, 46.0)",724.324,10
"(0.0, 44.0, 41.0, 8.0, 8.0, 2.0, 2.0, 1.0, 8.0, 59.0)",724.356,10
"(37.0, 61.0, 49.0, 10.0, 10.0, 23.0, 23.0, 48.0, 10.0, 61.0)",724.358,10
"(43.0, 45.0, 53.0, 52.0, 52.0, 21.0, 21.0, 54.0, 52.0, 53.0)",724.359,10
"(26.0, 39.0, 24.0, 36.0, 36.0, 3.0, 3.0, 25.0, 36.0, 36.0)",724.36,10
"(33.0, 15.0, 21.0, 55.0, 55.0, 60.0, 60.0, 55.0, 55.0, 55.0)",724.36,10
"(54.0, 59.0, 39.0, 25.0, 25.0, 37.0, 37.0, 53.0, 53.0, 6.0)",724.391,10
"(25.0, 47.0, 22.0, 12.0, 12.0, 41.0, 41.0, 19.0, 19.0, 41.0)",724.393,10
"(8.0, 50.0, 14.0, 56.0, 56.0, 34.0, 34.0, 57.0, 57.0, 57.0)",724.396,10
"(16.0, 20.0, 10.0, 3.0, 3.0, 24.0, 20.0, 24.0, 41.0, 22.0)",1155.987,10
"(29.0, 26.0, 22.0, 32.0, 32.0, 5.0, 26.0, 5.0, 11.0, 22.0)",1155.99,10
"(21.0, 40.0, 57.0, 4.0, 4.0, 60.0, 40.0, 60.0, 58.0, 4.0)",1155.991,10
"(23.0, 13.0, 29.0, 55.0, 55.0, 18.0, 13.0, 18.0, 26.0, 26.0)",1155.992,10
"(27.0, 52.0, 46.0, 14.0, 14.0, 32.0, 52.0, 32.0, 27.0, 27.0)",1156.019,10
"(1.0, 38.0, 14.0, 19.0, 19.0, 33.0, 38.0, 33.0, 1.0, 14.0)",1156.021,10
