Adversarial Examples,Time(s),Mem Queries asked before,Total sequences asked before,Mem Query?
(),0.006,0,0,Y
"(22.0, 6.0, 22.0)",0.094,5,12,Y
"(40.0, 20.0, 40.0, 40.0)",0.333,10,17,Y
"(37.0, 28.0, 48.0, 48.0)",0.334,12,19,Y
"(22.0, 1.0, 22.0, 20.0)",0.345,13,20,Y
"(19.0, 2.0, 19.0, 19.0)",0.346,14,21,Y
"(58.0, 56.0, 56.0, 58.0)",0.357,17,24,Y
"(9.0, 38.0, 12.0, 38.0, 9.0)",0.881,20,27,Y
"(30.0, 3.0, 48.0, 58.0, 3.0)",0.883,22,29,Y
"(59.0, 5.0, 20.0, 59.0, 7.0)",0.908,24,31,Y
"(58.0, 46.0, 8.0, 58.0, 58.0)",0.909,25,32,Y
"(51.0, 47.0, 0.0, 51.0, 0.0)",0.911,27,34,Y
"(6.0, 61.0, 22.0, 61.0, 22.0)",0.936,31,38,Y
"(17.0, 35.0, 29.0, 29.0, 17.0)",0.962,33,40,Y
"(55.0, 1.0, 55.0, 43.0, 1.0)",1.523,38,45,Y
"(29.0, 9.0, 29.0, 29.0, 52.0)",1.543,40,47,Y
"(59.0, 43.0, 59.0, 59.0, 59.0)",1.544,41,48,Y
"(39.0, 34.0, 39.0, 39.0, 34.0)",1.545,42,49,Y
"(34.0, 46.0, 34.0, 46.0, 23.0)",1.569,43,50,Y
"(2.0, 38.0, 2.0, 38.0, 2.0)",1.57,44,51,Y
"(2.0, 40.0, 2.0, 2.0, 37.0, 2.0)",3.674,50,57,Y
"(1.0, 46.0, 37.0, 1.0, 1.0, 37.0)",3.698,54,61,Y
"(43.0, 7.0, 48.0, 43.0, 7.0, 36.0)",3.715,55,62,Y
"(34.0, 15.0, 21.0, 34.0, 15.0, 34.0)",3.716,56,63,Y
"(29.0, 59.0, 42.0, 29.0, 42.0, 29.0)",3.739,60,67,Y
"(35.0, 15.0, 20.0, 15.0, 19.0, 35.0)",5.305,64,71,Y
"(60.0, 29.0, 56.0, 29.0, 28.0, 56.0)",5.307,67,74,Y
"(56.0, 38.0, 47.0, 38.0, 38.0, 56.0)",5.338,73,80,Y
"(15.0, 44.0, 1.0, 44.0, 44.0, 1.0)",5.34,75,82,Y
