Adversarial Examples,Time(s),Mem Queries asked before,Total sequences asked before,Mem Query?
"('(', ')', '(', '(')",0.222,6,16,Y
"('(', ')', '(', '(', ')', '(')",0.356,24,34,Y
"('(', ')', ')', ')')",1.069,48,58,Y
"('(', ')', ')', '(')",1.07,50,60,Y
"('(', ')', '(', '(', '(', ')')",1.222,107,117,Y
"('(', ')', '(', '(', '(', '(')",1.224,109,119,Y
"('(', '(', '(', ')')",2.933,142,152,Y
"('(', '(', ')', '(')",2.968,153,163,Y
"('(', '(', ')', ')', '(', ')', ')', ')', ')', '(')",13.956,154,1160,N
"('(', '(', ')', ')', '(', '(')",14.022,163,1169,Y
"('(', '(', ')', ')', '(', ')', ')', ')')",14.065,171,1177,Y
"('(', '(', ')', ')', '(', ')', ')', '(')",14.067,173,1179,Y
"('(', '(', ')', ')', '(', ')', ')', ')', ')', ')')",14.114,181,1187,Y
"('(', '(', ')', ')', ')', ')')",14.382,231,1237,Y
"('(', '(', ')', ')', ')', '(')",14.383,233,1239,Y
"('(', '(', ')', ')', '(', ')', '(', '(')",14.616,292,1298,Y
"('(', '(', ')', ')', '(', ')', ')', ')', '(', ')')",14.782,328,1334,Y
"('(', '(', ')', ')', '(', ')', ')', ')', '(', '(')",14.784,330,1336,Y
"('(', '(', ')', ')', '(', ')', ')', ')', ')', '(', '(', ')')",14.965,373,1379,Y
"('(', '(', ')', ')', '(', ')', ')', ')', ')', '(', '(', '(')",14.968,375,1381,Y
"('(', '(', ')', ')', '(', ')', ')', ')', ')', '(', ')', ')')",15.018,385,1391,Y
"('(', '(', ')', ')', '(', ')', ')', ')', ')', '(', ')', '(')",15.02,387,1393,Y
"('(', '(', '(', ')', '(', ')', '(', ')', '(', '(')",40.055,402,1409,N
"('(', ')', '(', ')', ')', ')', ')', '(', ')', '(')",40.064,402,1410,N
"('(', ')', '(', ')', ')', ')')",40.103,404,1412,Y
"('(', ')', '(', ')', ')', '(')",40.105,406,1414,Y
"('(', ')', '(', ')', ')', ')', ')', ')')",40.146,414,1422,Y
"('(', ')', '(', ')', ')', ')', ')', '(')",40.147,416,1424,Y
"('(', ')', '(', ')', ')', ')', ')', '(', ')', ')')",40.19,424,1432,Y
"('(', ')', '(', ')', '(', '(')",40.463,443,1451,Y
"('(', ')', '(', ')', ')', ')', '(', ')')",40.639,493,1501,Y
"('(', ')', '(', ')', ')', ')', '(', '(')",40.641,495,1503,Y
"('(', ')', '(', ')', ')', ')', ')', '(', '(', ')')",40.881,552,1560,Y
"('(', ')', '(', ')', ')', ')', ')', '(', '(', '(')",40.883,554,1562,Y
"('(', ')', '(', ')', ')', ')', ')', '(', ')', '(', ')', ')')",41.068,597,1605,Y
"('(', ')', '(', ')', ')', ')', ')', '(', ')', '(', ')', '(')",41.07,599,1607,Y
"('(', ')', '(', ')', ')', ')', ')', '(', ')', '(', '(', ')')",41.116,609,1617,Y
"('(', ')', '(', ')', ')', ')', ')', '(', ')', '(', '(', '(')",41.118,611,1619,Y
"('(', ')', ')', ')', '(', '(', ')', '(', '(', '(')",88.373,619,1632,N
"('(', ')', ')', ')', '(', ')')",88.434,626,1639,Y
"('(', ')', ')', ')', '(', '(')",88.436,628,1641,Y
"('(', ')', ')', ')', '(', '(', ')', ')')",88.477,636,1649,Y
"('(', ')', ')', ')', '(', '(', ')', '(')",88.479,638,1651,Y
"('(', ')', ')', ')', '(', '(', ')', '(', '(', ')')",88.523,646,1659,Y
"('(', ')', ')', ')', ')', ')')",89.017,703,1716,Y
"('(', ')', ')', ')', ')', '(')",89.018,705,1718,Y
"('(', ')', ')', ')', '(', '(', '(', ')')",89.18,748,1761,Y
"('(', ')', ')', ')', '(', '(', '(', '(')",89.182,750,1763,Y
"('(', ')', ')', ')', '(', '(', ')', '(', ')', ')')",89.405,800,1813,Y
"('(', ')', ')', ')', '(', '(', ')', '(', ')', '(')",89.407,802,1815,Y
"('(', ')', ')', ')', '(', '(', ')', '(', '(', '(', ')', ')')",89.568,838,1851,Y
"('(', ')', ')', ')', '(', '(', ')', '(', '(', '(', ')', '(')",89.57,840,1853,Y
"('(', ')', ')', ')', '(', '(', ')', '(', '(', '(', '(', ')')",89.654,850,1863,Y
"('(', ')', ')', ')', '(', '(', ')', '(', '(', '(', '(', '(')",89.657,852,1865,Y
"('(', ')', '(', ')', '(', '(', '(', '(', '(', ')')",173.631,867,1882,N
"('(', ')', ')', ')', '(', ')', '(', '(', ')', ')')",173.641,867,1883,N
"('(', '(', ')', '(', '(', ')', '(', ')', '(', '(')",173.652,867,1884,N
"('(', '(', ')', '(', ')', '(')",173.709,871,1890,Y
"('(', '(', ')', '(', ')', '(', ')', '(')",173.753,881,1900,Y
"('(', '(', ')', '(', ')', '(', ')', ')', '(', '(')",173.799,891,1910,Y
"('(', '(', ')', '(', '(', ')')",174.283,913,1932,Y
"('(', '(', ')', '(', ')', '(', '(', ')')",174.471,958,1977,Y
"('(', '(', ')', '(', ')', '(', '(', '(')",174.473,960,1979,Y
"('(', '(', ')', '(', ')', '(', ')', ')', ')', ')')",174.684,1003,2022,Y
"('(', '(', ')', '(', ')', '(', ')', ')', ')', '(')",174.686,1005,2024,Y
"('(', '(', ')', '(', ')', '(', ')', ')', '(', ')', ')', ')')",174.933,1062,2081,Y
"('(', '(', ')', '(', ')', '(', ')', ')', '(', ')', ')', '(')",174.935,1064,2083,Y
"('(', '(', ')', '(', ')', '(', ')', ')', '(', ')', '(', '(')",174.985,1076,2095,Y
"('(', ')', '(', '(', ')', ')', ')', ')')",202.97,1197,2216,Y
"('(', ')', '(', '(', ')', ')', '(', '(')",202.972,1199,2218,Y
"('(', ')', '(', '(', ')', '(', '(', '(')",203.023,1218,2237,Y
"('(', '(', ')', ')', '(', '(', '(', '(')",203.238,1278,2297,Y
"('(', '(', ')', ')', '(', ')', ')', '(', ')', ')')",203.465,1342,2361,Y
"('(', '(', ')', ')', '(', ')', ')', '(', '(', '(')",203.467,1344,2363,Y
"('(', '(', ')', ')', '(', ')', ')', ')', ')', ')', ')', ')')",203.625,1387,2406,Y
"('(', '(', ')', ')', '(', ')', ')', ')', ')', ')', '(', '(')",203.627,1389,2408,Y
"('(', ')', '(', ')', ')', '(', ')', ')')",203.844,1463,2482,Y
"('(', ')', '(', ')', ')', '(', '(', '(')",203.846,1465,2484,Y
"('(', ')', '(', ')', ')', ')', ')', ')', ')', ')')",204.029,1522,2541,Y
"('(', ')', '(', ')', ')', ')', ')', ')', '(', '(')",204.031,1524,2543,Y
"('(', ')', '(', ')', ')', ')', ')', '(', ')', ')', ')', ')')",204.207,1574,2593,Y
"('(', ')', '(', ')', ')', ')', ')', '(', ')', ')', '(', '(')",204.209,1576,2595,Y
"('(', ')', ')', '(', ')', ')')",204.419,1638,2657,Y
"('(', ')', ')', '(', '(', '(')",204.421,1640,2659,Y
"('(', ')', ')', ')', '(', ')', ')', ')')",204.522,1676,2695,Y
"('(', ')', ')', ')', '(', ')', '(', '(')",204.524,1678,2697,Y
"('(', ')', ')', ')', '(', '(', ')', ')', ')', ')')",204.766,1749,2768,Y
"('(', ')', ')', ')', '(', '(', ')', ')', '(', '(')",204.768,1751,2770,Y
"('(', ')', ')', ')', '(', '(', ')', '(', '(', ')', ')', ')')",204.933,1801,2820,Y
"('(', ')', ')', ')', '(', '(', ')', '(', '(', ')', '(', '(')",204.936,1803,2822,Y
"('(', '(', ')', '(', ')', ')', ')', ')')",205.17,1865,2884,Y
"('(', '(', ')', '(', ')', ')', '(', '(')",205.172,1867,2886,Y
"('(', '(', ')', '(', ')', '(', ')', '(', '(', '(')",205.366,1926,2945,Y
"('(', '(', ')', '(', ')', '(', ')', ')', '(', '(', '(', '(')",205.539,1964,2983,Y
"('(', '(', ')', '(', '(', ')', '(', '(')",205.747,2035,3054,Y
"('(', '(', ')', '(', '(', '(', ')', ')')",205.782,2045,3064,Y
"('(', '(', ')', '(', '(', '(', '(', ')')",381.582,2107,3126,Y
"('(', '(', ')', '(', '(', '(', ')', '(')",381.706,2143,3162,Y
